cell_ID	par0	err0	par1	err1	chi2	integral
4378	1.15946	NA	NA	NA	NA	274
4379	0.864807	NA	NA	NA	NA	860
4380	1.14373	NA	NA	NA	NA	289
4381	0.860982	NA	NA	NA	NA	875
4382	1.08656	NA	NA	NA	NA	353
4383	0.911334	NA	NA	NA	NA	701
4384	1.12994	NA	NA	NA	NA	303
4385	0.904786	NA	NA	NA	NA	721
4386	1.12058	NA	NA	NA	NA	313
4387	0.877357	NA	NA	NA	NA	813
4388	1.19445	NA	NA	NA	NA	244
4389	0.907704	NA	NA	NA	NA	712
4390	1.18461	NA	NA	NA	NA	252
4391	0.919857	NA	NA	NA	NA	676
4392	1.22092	NA	NA	NA	NA	224
4393	0.891449	NA	NA	NA	NA	764
4394	1.16164	NA	NA	NA	NA	272
4395	0.939699	NA	NA	NA	NA	622
4396	1.14475	NA	NA	NA	NA	288
4397	0.90543	NA	NA	NA	NA	719
4398	1.27013	NA	NA	NA	NA	192
4399	0.995326	NA	NA	NA	NA	497
4400	1.2353	NA	NA	NA	NA	214
4401	1.03544	NA	NA	NA	NA	426
4402	1.33957	NA	NA	NA	NA	156
4403	0.961833	NA	NA	NA	NA	568
4404	1.25531	NA	NA	NA	NA	201
4405	0.945598	NA	NA	NA	NA	607
4406	1.33305	NA	NA	NA	NA	159
4407	0.989258	NA	NA	NA	NA	509
4408	1.24898	NA	NA	NA	NA	205
4409	0.982401	NA	NA	NA	NA	523
4410	1.27184	NA	NA	NA	NA	191
4411	1.0287	NA	NA	NA	NA	437
4412	1.29878	NA	NA	NA	NA	176
4413	0.99584	NA	NA	NA	NA	496
4414	1.35543	NA	NA	NA	NA	149
4415	1.07354	NA	NA	NA	NA	370
4416	1.48998	NA	NA	NA	NA	103
4417	0.940475	NA	NA	NA	NA	620
4418	1.32878	NA	NA	NA	NA	161
4419	0.965779	NA	NA	NA	NA	559
4420	1.27527	NA	NA	NA	NA	189
4421	0.818293	NA	NA	NA	NA	1067
4422	3.08806	NA	NA	NA	NA	6
4423	0.814599	NA	NA	NA	NA	1086
4424	1.15199	NA	NA	NA	NA	281
4425	0.757898	NA	NA	NA	NA	1439
4426	1.24129	NA	NA	NA	NA	210
4427	0.755752	NA	NA	NA	NA	1455
4428	1.20999	NA	NA	NA	NA	232
4429	0.758574	NA	NA	NA	NA	1434
4430	1.16384	NA	NA	NA	NA	270
4431	0.747585	NA	NA	NA	NA	1518
4432	1.14886	NA	NA	NA	NA	284
4433	0.855275	NA	NA	NA	NA	898
4434	1.28228	NA	NA	NA	NA	185
4435	0.866361	NA	NA	NA	NA	854
4436	1.33305	NA	NA	NA	NA	159
4437	0.859726	NA	NA	NA	NA	880
4438	1.31237	NA	NA	NA	NA	169
4439	0.829469	NA	NA	NA	NA	1012
4440	1.32667	NA	NA	NA	NA	162
4441	0.860982	NA	NA	NA	NA	875
4442	1.30259	NA	NA	NA	NA	174
4443	0.837868	NA	NA	NA	NA	973
4444	1.34626	NA	NA	NA	NA	153
4445	0.836111	NA	NA	NA	NA	981
4446	1.37725	NA	NA	NA	NA	140
4447	0.870571	NA	NA	NA	NA	838
4448	1.37474	NA	NA	NA	NA	141
4449	0.883262	NA	NA	NA	NA	792
4450	1.35311	NA	NA	NA	NA	150
4451	0.878466	NA	NA	NA	NA	809
4452	1.42671	NA	NA	NA	NA	122
4453	0.856009	NA	NA	NA	NA	895
4454	1.34852	NA	NA	NA	NA	152
4455	0.833079	NA	NA	NA	NA	995
4456	1.40925	NA	NA	NA	NA	128
4457	0.782562	NA	NA	NA	NA	1270
4458	1.51308	NA	NA	NA	NA	97
4459	0.975305	NA	NA	NA	NA	538
4460	1.60005	NA	NA	NA	NA	78
4461	0.99584	NA	NA	NA	NA	496
4462	1.60535	NA	NA	NA	NA	77
4463	1.42671	NA	NA	NA	NA	122
4464	1.82191	NA	NA	NA	NA	47
4465	0.886144	NA	NA	NA	NA	782
4466	1.28051	NA	NA	NA	NA	186
4467	0.726965	NA	NA	NA	NA	1693
4468	1.24129	NA	NA	NA	NA	210
4469	0.671975	NA	NA	NA	NA	2301
4470	1.16606	NA	NA	NA	NA	268
4471	0.644133	NA	NA	NA	NA	2714
4472	1.05984	NA	NA	NA	NA	389
4473	0.71033	NA	NA	NA	NA	1853
4474	1.21268	NA	NA	NA	NA	230
4475	0.71862	NA	NA	NA	NA	1771
4476	1.20601	NA	NA	NA	NA	235
4477	0.736159	NA	NA	NA	NA	1612
4478	1.21133	NA	NA	NA	NA	231
4479	0.705879	NA	NA	NA	NA	1899
4480	1.15094	NA	NA	NA	NA	282
4481	0.716042	NA	NA	NA	NA	1796
4482	1.19571	NA	NA	NA	NA	243
4483	0.730417	NA	NA	NA	NA	1662
4484	1.18102	NA	NA	NA	NA	255
4485	0.747459	NA	NA	NA	NA	1519
4486	1.31638	NA	NA	NA	NA	167
4487	0.750388	NA	NA	NA	NA	1496
4488	1.24281	NA	NA	NA	NA	209
4489	0.751549	NA	NA	NA	NA	1487
4490	1.24898	NA	NA	NA	NA	205
4491	0.764799	NA	NA	NA	NA	1389
4492	1.33957	NA	NA	NA	NA	156
4493	0.748853	NA	NA	NA	NA	1508
4494	1.25371	NA	NA	NA	NA	202
4495	0.698361	NA	NA	NA	NA	1980
4496	1.39015	NA	NA	NA	NA	135
4497	0.796067	NA	NA	NA	NA	1188
4498	1.42372	NA	NA	NA	NA	123
4499	0.82389	NA	NA	NA	NA	1039
4500	1.44848	NA	NA	NA	NA	115
4501	0.774403	NA	NA	NA	NA	1323
4502	1.36979	NA	NA	NA	NA	143
4503	0.773357	NA	NA	NA	NA	1330
4504	1.42077	NA	NA	NA	NA	124
4505	0.785753	NA	NA	NA	NA	1250
4506	1.40091	NA	NA	NA	NA	131
4507	0.748091	NA	NA	NA	NA	1514
4508	1.42972	NA	NA	NA	NA	121
4509	0.764799	NA	NA	NA	NA	1389
4510	1.51308	NA	NA	NA	NA	97
4511	0.996872	NA	NA	NA	NA	494
4512	1.70412	NA	NA	NA	NA	61
4513	0.861741	NA	NA	NA	NA	872
4514	1.36251	NA	NA	NA	NA	146
4515	0.683688	NA	NA	NA	NA	2151
4516	1.05095	NA	NA	NA	NA	402
4517	2.14194	NA	NA	NA	NA	25
4518	1.04697	NA	NA	NA	NA	408
4519	0.614807	NA	NA	NA	NA	3255
4520	0.955428	NA	NA	NA	NA	583
4521	0.614228	NA	NA	NA	NA	3267
4522	0.991764	NA	NA	NA	NA	504
4523	0.652224	NA	NA	NA	NA	2585
4524	1.03174	NA	NA	NA	NA	432
4525	0.621418	NA	NA	NA	NA	3122
4526	0.970712	NA	NA	NA	NA	548
4527	0.660014	NA	NA	NA	NA	2468
4528	0.975771	NA	NA	NA	NA	537
4529	0.677942	NA	NA	NA	NA	2223
4530	0.969354	NA	NA	NA	NA	551
4531	2.26803	NA	NA	NA	NA	20
4532	0.932107	NA	NA	NA	NA	642
4533	1.7263	NA	NA	NA	NA	58
4534	1.14272	NA	NA	NA	NA	290
4535	0.71594	NA	NA	NA	NA	1797
4536	1.06694	NA	NA	NA	NA	379
4537	0.701561	NA	NA	NA	NA	1945
4538	1.07578	NA	NA	NA	NA	367
4539	2.21329	NA	NA	NA	NA	22
4540	1.14171	NA	NA	NA	NA	291
4541	0.721455	NA	NA	NA	NA	1744
